title,desc
Baryoke (2005),"Sexually frustrated Perla wants out of her marriage; servant Lea yearns for power; streetwalker Joan has a secret; and Diana is lost in grief. They find escape and salvation in the only place that inspires hope: the karaoke bar. Music is the only way they're able to feel whole once more, but will it work in the long run?"
Big Time (2005),"Danny and Jonas are petty crooks whose idea of going big-time is kidnapping the only daughter of a middle-class couple for a ransom price of 50,000 pesos."
ICU Bed #7 (2005),"Lolo Joseph, the stubborn and loud-mouthed patriarch, whose illness tears his two daughters Cely and Beth to make a decision whether to end or prolong his life."
The Blossoming of Maximo Oliveros (2005),"Maxi, a boy on the cusp of his teens, is already comfortable with his homosexual feelings, with acceptance from his family. When Maxi is assaulted one evening, Victor, a police officer, comes to his aid. Maxi soon develops a crush on Victor, who shows a platonic affection for the young lad."
Pepot Superstar (2005),"A story about a ten-year-old boy whose dream is to become a movie star. Pepot, the dreamer, is surrounded by people who are equally dazzled by the movie world from his own mother to the principal in his school to the impersonators in the neighborhood carnival. Coming from a poor family, Pepot overcomes adversity to have a chance at fulfilling his dream. He tackles school bullies, a strict teacher, and an unwelcoming world that fail to comprehend his intense desire to become a star. The story happens in the '70s when superstars brightened the film world in Pepot's country."
One Night (2005),"A man's friends hire a prostitute on his birthday for him to lose his virginity. But after finding out that she is a middle-aged woman, they decide to ditch her, except for the birthday boy, who likes older women."
Snatcher (2005),A cellphone collector a.k.a. snatcher steals a drug dealer's phone and the delivery that eventually leads into a confrontation with the syndicate's angry boss who wants his money.
"Last Take, Last Shot (2005)","A black comedy film, which focuses on two film workers, Raffy, the clapper, and Dido, a utility boy. Both share the same dream: to direct their own films someday. Their lives as mere ""small production people"" took a different turn when, together with the people in the unit van they were riding,had an encounter with armed men. Their co-workers were killed, and the two of them were forced to drive the unit van out of fear until it ran out of gas. The van contains equipment for movie production like cameras, lights and film stocks. They ended up in a secluded barrio not yet reached by modern technology, and therefore, the townsfolk knew nothing of the movie industry."
Room Boy (2005),"Luis, a motel roomboy, finds out the place where he is renting a room is about to be demolished. This sends him hunting for a new place to live with the help of Melba, a prostitute who is a regular client at the motel. Lonely and vulnerable, Luis starts falling for Melba. But giving into his emotions means abandoning his wife, Mercy, who is recuperating from a mental relapse in a mental institution. Torn between his new found love and marital vows, Luis turns his room hunting into an emotional journey that leads to his ultimate dwelling place."
In da Red Corner (2006),"Doring is a 24-year old girl who is engaged in a sport that is not common to Filipino women-boxing. This in her desire to alleviate her family from poverty which is slowly devouring them. Her mother Idang is a fish vendor whose hope she leaves on to God. Her brother Aloy is a cynical teenager who is hopeless about the future and just going with the flow of the times. Her youngest sibling Uno is fast growing up discovering the stark realities of life and is slowly losing his innocence. Desperate and tired of living a miserable life and working in a palengke, Doring enters into amateur boxing in the hope of being discovered and go big time in the professional level. This is not just a fight for her dream but a battle of survival for her family."
Batad (2006),"While selling produce in the Banawe market to supplement his family's income, a 14-year-old village boy starts dreaming of a life in the big city -- and becomes obsessed with a pair of hiking boots that could take him there."
Donsol (2006),"About two lonely people who met during the whaleshark watching season in Donsol, Sorsogon."
Ang Huling Araw Ng Linggo (2006),Ang Huling Araw ng Linggo spans a week in a life of seven individuals with interconnected narratives.
Mudraks (2006),"Inside the Rabadon house, nobody talks. Lives are kept to themselves; problems are not shared; questions are not entertained. The people living inside it have become used to leaving everything unstirred especially Margaret, the mother of the home. Margaret's desire for cleanliness and order alienates her from her family. She cannot confront the problems of her life and so she confronts dirty dishes, ugly stains, and disorderly appliances. To get to know her family, she snoops around - entering rooms, opening cabinets, reading journals she is not supposed to read. But everything changes when a journal entry of her daughter's makes her unravel, stirring the unstirred life that she has held on to for years."
Rotonda (2006),"Beginning at the break of dawn and ending the next morning, the story, set around a rugged city intersection, follows the path of a marked one-thousand-peso bill as it transfers from one character to another, returning to its originator in the end, blood-tainted. The money leads us to each of the five offbeat characters, all in desperate need of their soul's redemption: a disillusioned tabloid reporter planning to commit suicide in a motel, a nightclub dancer con prostitute who has avowed to give her kid sister a better life, a fallen henchman resurfacing to score big time, a chronic runaway teenage girl held captive as sex slave by a cop, and a long-suffering son bearing a sadomasochistic relationship with his brutish, half-paralyzed father who behaves like a mad dictator in his wheelchair."
Just Like Before (2006),A movie about the Filipino rock Band The Dawn.
Saan Nagtatago si Happiness? (2006),"A middle-aged man does everything he can to reunite with his mother, who he thought was dead."
Endo (2007),"Leo belongs to a poor family. Because he did not finish his studies, his only option is to work as a contractual worker in various establishments. In one job, he met a high-spirited girl named Tanya with whom he got romantically involved. In their relationship, he wishes to feel fulfillment and sense of security with her, but he is not prepared for this additional commitment."
The Bicycle (2007),"GULONG is about friendship, love and life. The story is told from the point-of-view of Apao, a smart, kindhearted boy whose quest for an old bicycle reveals the stuff he is made of."
The Goat (2007),"Peping wakes up to find out that Gima, their goat, is missing. His family make a living out of the milk provided the goat. He hides the truth from his grandmother. His father is also arriving the next day so he needs to find Gima before its too late. Together with his younger sister, Lita, the two go on a seemingly impossible search for the goat in the landscape of the island of Sabtang, in Batanes. A series of frustrating episodes mark the day, tension and desperation growing as natural and human forces conspire to frustrate them at every turn. The odyssey teaches the boy about the true meaning of life- where kindness and cruelty can be found in close proximity."
Letters of Nor (2007),"When Nor (John Michael Lee) learns the local post office has secretly ceased operations, he uses this as his chance to communicate with Karen (Karylle), a longtime crush. Pretending to be Karen's husband, who's in Saigon, Nor writes love letters to the woman of his dreams. Based on actual events, this touching Filipino drama follows Nor's attempts to win over Karen's heart."
